customer_id,Recency,Frequency,Monetary
BT-1530,353,7,1535.781
BT-1680,58,4,807.36
BV-11245,45,22,20681.678
BV-1245,129,3,684.264
BW-1065,23,5,9027.48
BW-11065,51,18,8409.0559
BW-1110,185,10,1696.83
BW-11110,55,35,30613.6165
BW-11200,41,29,11862.36908
BW-1200,134,4,3105.816
CA-11965,19,26,21110.5214
CA-12055,14,22,10691.028
CA-12265,35,31,18472.6689
CA-12310,14,21,7166.23086
CA-12775,94,26,18350.464
CA-1965,128,8,2883.141
CA-2055,259,3,1601.73
CA-2265,106,7,3364.638
CA-2310,337,5,636.0600000000001
CA-2775,310,4,1485.897
CB-12025,10,25,11685.3186
CB-12415,27,23,12705.54736
CB-12535,43,27,18108.67284
CB-2025,23,5,1840.8899999999999
CB-2415,517,4,1232.568
CB-2535,8,2,147.12
CC-12100,52,25,11500.12324
CC-12145,83,24,12190.6666
CC-12220,21,32,7308.7328
CC-12370,44,30,28229.8514
CC-12430,1,29,13997.592560000001
CC-12475,17,30,17159.80046
CC-12550,28,25,7908.65034
CC-12610,17,29,16822.64
CC-12670,17,28,9969.0279
CC-12685,55,20,12798.5442
CC-2100,61,5,1020.048
CC-2145,505,6,1158.18
CC-2220,22,12,4174.182
CC-2370,7,9,6957.225
CC-2430,472,2,1041.57
CC-2475,56,7,3709.881
CC-2550,272,5,1433.3999999999999
CC-2610,345,3,782.3879999999999
CC-2670,147,6,1527.5819999999999
CC-2685,132,5,4019.4120000000003
CD-11920,3,27,18296.7474
CD-11980,2,23,11848.16246
CD-12280,42,24,16779.54838
CD-12790,77,25,13468.1145
CD-1920,315,4,1821.219
CD-1980,7,7,1380.228
CD-2280,13,7,1205.04
CD-2790,132,7,1030.788
CG-12040,22,19,3596.268
CG-12520,29,18,13545.47002
CG-2040,379,5,518.94
CG-2520,120,7,1116.204
CH-12070,90,21,11122.55656
CH-2070,307,8,4545.6179999999995
CJ-11875,14,23,12538.83296
CJ-12010,34,26,19356.0046
CJ-1875,33,6,1431.432
CJ-2010,47,3,223.56
CK-12205,5,38,13625.20784
CK-12325,62,27,9927.89832
CK-12595,44,33,16480.86618
CK-12760,58,26,6574.8044
CK-2205,80,5,950.697
CK-2325,1,8,3125.295
CK-2595,216,3,662.28
CK-2760,38,12,4015.95
CL-11890,14,31,17622.41136
CL-12565,6,30,17008.13588
CL-12700,9,31,17943.6508
CL-1890,93,9,560.745
CL-2565,43,6,2775.636
CL-2700,142,4,1432.374
CM-11815,41,23,14362.8004
CM-11830,7,24,16828.819
CM-11935,37,18,9689.0124
CM-12115,9,20,14657.9493
CM-12160,27,26,17910.03942
CM-12190,1,25,11375.05222
CM-12235,43,22,11377.591
CM-12385,38,25,21882.96992
CM-12445,16,25,11971.70808
CM-12655,28,18,14188.72268
CM-12715,42,19,8392.5789
CM-1815,62,5,431.874
CM-1830,114,13,4777.407
CM-1935,49,7,459.294
CM-2115,21,3,1907.3700000000001
CM-2160,50,5,2245.92
CM-2190,153,4,1451.49
CM-2235,52,5,243.03
CM-2385,575,4,580.614
CM-2445,349,4,1741.578
CM-2655,51,12,1389.834
CM-2715,118,7,2838.264
CP-12085,70,23,14183.8819
CP-12340,9,30,20109.46928
CP-2085,143,10,5585.7
CP-2340,464,4,5044.65
CR-12580,23,20,8700.3125
CR-12625,44,28,17271.20568
CR-12730,23,24,19487.963760000002
CR-12820,61,24,14470.55056
CR-2580,35,5,3057.2639999999997
CR-2625,140,9,5079.897
CR-2730,6,11,1359.576
CR-2820,56,8,1188.012
CS-11845,16,26,20471.0526
CS-11860,78,21,10555.92482
CS-11950,26,31,14222.97134
CS-12130,12,22,10981.231
CS-12175,61,29,16706.0963
CS-12250,27,30,12496.1053
CS-12355,7,31,9240.896999999999
CS-12400,2,23,10221.36436
CS-12460,7,23,20084.21728
CS-12490,3,30,11110.4965
CS-12505,28,16,11535.2464
CS-1845,25,8,1593.3120000000001
CS-1860,51,9,1618.674
CS-1950,136,5,714.072
CS-2130,306,4,1367.268
CS-2175,58,5,3340.098
CS-2250,3,4,1917.624
CS-2355,56,9,1307.16
CS-2400,12,5,2293.17
CS-2460,203,8,2671.227
CS-2490,170,3,1664.13
CS-2505,51,7,1894.5
CT-11995,29,27,13715.79704
CT-1995,784,2,422.778
CV-12295,40,20,9042.26818
CV-12805,5,20,9764.1306
CV-2295,86,9,1283.241
CV-2805,258,7,5088.852
CW-11905,9,25,12917.6316
CW-1905,385,4,1436.31
CY-12745,61,31,13928.4683
CY-2745,493,4,293.034
Co-12640,5,25,12279.23076
Co-2640,363,5,767.637
DA-13450,14,25,13035.368260000001
DA-3450,15,4,2212.05
DB-12910,3,27,12338.2837
DB-12970,218,11,9166.2092
DB-13060,17,26,23476.91166
DB-13120,6,16,5602.59462
DB-13210,8,27,13743.5959
DB-13270,10,25,11690.3695
DB-13360,48,28,6919.81436
DB-13405,29,26,16083.95666
DB-13555,37,22,9415.2204
DB-13615,28,28,10031.4568
DB-13660,13,20,11397.064840000001
DB-2910,55,8,3051.18
DB-2970,58,4,513.03
DB-3060,9,8,2070.258
DB-3120,359,4,671.232
DB-3210,583,7,387.021
DB-3270,49,2,886.23
DB-3360,435,2,3691.53
DB-3405,558,2,548.682
DB-3555,6,3,971.1120000000001
DB-3615,108,4,2824.152
DB-3660,238,3,2207.712
DC-12850,38,29,9307.3655
DC-13285,19,23,16164.6499
DC-2850,35,9,4131.144
DC-3285,393,4,800.004
DD-13570,42,24,8741.4648
DD-3570,64,8,2331.4139999999998
DE-13255,20,22,10085.789999999999
DE-3255,49,8,2714.49
DF-13135,10,18,10240.3839
DF-3135,44,4,1301.652
DG-13300,31,28,13731.428
DG-3300,15,6,2982.312
DH-13075,76,25,14128.6781
DH-13675,22,17,7817.3085
DH-3075,160,10,2063.682
DH-3675,21,12,4661.844
DJ-13420,23,28,22142.43114
DJ-13510,7,31,15420.2879
DJ-13630,13,27,12560.130000000001
DJ-3420,2,4,419.64
DJ-3510,7,7,5976.6900000000005
DJ-3630,35,6,1293.9479999999999
DK-12835,22,32,17590.5547
DK-12895,46,22,18340.62916
DK-12985,2,35,14823.9685
DK-13090,9,36,19178.6392
DK-13150,11,22,15983.711
DK-13225,2,29,9246.4686
DK-13375,5,26,16258.534
DK-2835,22,11,3373.143
DK-2895,147,6,1292.13
DK-2985,1207,1,81.432
DK-3090,69,3,273.76800000000003
DK-3150,58,14,1577.874
DK-3225,66,8,1407.984
DK-3375,118,10,3846.78
DL-12865,58,34,11185.7181
DL-12925,58,21,11364.6808
DL-13315,19,27,18505.6005
DL-13330,13,34,16781.631
DL-13495,23,27,15872.184000000001
DL-2865,203,7,1502.964
DL-2925,38,7,831.996
DL-3315,48,6,1746.87
DL-3330,706,3,1159.3500000000001
DL-3495,283,5,773.604
DM-12955,41,32,19862.57592
DM-13015,6,30,15626.5318
DM-13345,3,27,17054.8905
DM-13525,36,19,9640.38168
DM-2955,13,9,2437.407
DM-3015,3,6,2105.79
DM-3345,146,6,4998.42
DM-3525,322,6,2191.266
DN-13690,20,24,13098.338
DN-3690,13,5,1815.954
DO-13435,65,32,15280.8855
DO-13645,27,25,12083.48092
DO-3435,37,10,3515.73
DO-3645,42,5,1689.252
DP-13000,62,31,13882.7624
DP-13105,7,25,18930.032199999998
DP-13165,8,25,22211.28212
DP-13390,1,27,10282.7912
DP-3000,15,10,2093.61
DP-3105,65,6,6970.715999999999
DP-3165,8,6,1517.952
DP-3390,13,6,1376.1299999999999
DR-12880,4,32,14415.3383
DR-12940,28,33,25641.46492
DR-2880,5,8,2291.463
DR-2940,40,8,2288.4
DS-13030,94,26,11644.2965
DS-13180,15,31,13447.412
DS-3030,49,6,1636.512
DS-3180,72,2,185.136
DV-13045,20,24,18106.01292
DV-13465,30,20,12910.87688
DV-3045,34,13,4640.319
DV-3465,14,5,4037.82
DW-13195,7,26,9689.3171
DW-13480,66,23,16336.8556
DW-13540,13,20,13166.414999999999
DW-13585,6,37,12143.0436
DW-3195,1064,4,1241.2259999999999
DW-3480,56,12,7118.106000000001
DW-3540,55,4,1216.587
DW-3585,29,4,461.87399999999997
Dl-13600,6,20,11912.7634
Dl-3600,112,10,2809.056
Dp-13240,19,28,22225.61032
Dp-3240,26,7,609.3
EA-14035,94,31,11387.06772
EA-4035,166,3,131.808
EB-13705,49,30,12382.284099999999
EB-13750,33,20,8489.991
EB-13840,3,25,20188.15894
EB-13870,16,19,6850.983700000001
EB-13930,20,18,9533.9519
EB-13975,1,32,13405.6013
EB-14110,36,24,13665.4673
EB-14170,20,23,6736.4391
EB-3705,399,3,3141.63
EB-3750,185,6,939.153
EB-3840,44,6,1797.738
EB-3870,498,5,184.872
EB-3930,8,9,2433.516
EB-3975,36,9,2713.62
EB-4110,21,10,2417.757
EB-4170,55,6,1267.6200000000001
EC-14050,54,19,4430.2361
EC-4050,163,7,2301.315
ED-13885,16,31,18018.879
ED-3885,57,8,525.474
EG-13900,23,21,16562.35068
EG-3900,52,11,6549.951
EH-13765,3,29,20259.916
EH-13945,58,27,7832.68602
EH-13990,45,26,8807.0846
EH-14005,3,28,10374.9381
EH-14125,103,31,17408.31362
EH-14185,68,29,12800.51382
EH-3765,129,9,1010.382
EH-3945,112,9,2518.74
EH-3990,34,6,672.489
EH-4005,197,7,2629.674
EH-4125,23,13,5012.22
EH-4185,122,8,3577.77
EJ-13720,50,22,8969.44
EJ-14155,28,23,12324.8446
EJ-3720,157,8,1727.964
EJ-4155,23,5,2631.99
EK-13795,45,17,5597.3462
EK-3795,213,6,1531.083
EL-13735,54,23,10515.862000000001
EL-3735,27,11,3691.392
EM-13810,79,23,13549.72804
EM-13825,56,26,14128.078160000001
EM-13960,3,37,25228.52948
EM-14065,17,17,12108.30958
EM-14095,9,17,10889.6997
EM-14140,25,30,21507.29126
EM-14200,42,23,17087.77766
EM-3810,59,6,1032.879
EM-3825,483,6,378.258
EM-3960,195,8,2855.874
EM-4065,53,9,3213.246
EM-4095,132,9,2833.56
EM-4140,94,6,1900.791
EM-4200,152,4,2585.898
EN-13780,15,20,6333.9164
EN-3780,206,8,734.856
EP-13915,13,33,16283.35774
EP-3915,76,3,487.95000000000005
ER-13855,70,19,13396.0
ER-3855,54,7,3736.296
ES-14020,1,32,12827.272939999999
ES-14080,29,24,16236.0058
ES-4020,29,7,1892.778
ES-4080,146,9,1925.544
FA-14230,23,29,13535.0628
FA-4230,185,6,814.572
FC-14245,43,23,10867.8088
FC-14335,108,23,8770.73964
FC-4245,492,6,1540.6380000000001
FC-4335,111,4,550.95
FG-14260,35,18,9396.5055
FG-4260,111,9,308.211
FH-14275,5,23,13569.566
FH-14350,2,20,10654.52882
FH-14365,2,30,27649.32652
FH-4275,135,5,113.064
FH-4350,15,3,110.481
FH-4365,167,9,2751.348
FM-14215,8,31,14353.3978
FM-14290,37,30,14382.319220000001
FM-14380,146,21,6598.3976999999995
FM-4215,97,6,2935.614
FM-4290,3,8,2002.71
FM-4380,2,6,843.54
FO-14305,23,37,15614.2155
FO-4305,52,10,2158.446
FP-14320,24,29,9939.0502
FP-4320,28,5,816.582
FW-14395,64,26,16972.7481
FW-4395,1,8,1220.811
GA-14515,23,24,12488.67232
GA-14725,3,24,8817.5455
GA-4515,36,7,1318.389
GA-4725,71,4,1460.796
GB-14530,34,25,11657.753
GB-14575,14,24,10748.99238
GB-4530,114,5,525.9
GB-4575,210,6,1821.912
GD-14590,6,29,18005.0006
GD-4590,353,4,700.692
GG-14650,34,28,12902.96276
GG-4650,104,5,1000.422
GH-14410,21,36,13659.59598
GH-14425,19,31,20039.763
GH-14485,52,21,14692.6742
GH-14665,3,29,12921.45162
GH-4410,298,9,1610.22
GH-4425,22,10,4585.83
GH-4485,86,4,794.622
GH-4665,2,9,1077.069
GK-14620,13,24,19215.7699
GK-4620,101,4,764.601
GM-14440,20,26,15782.46188
GM-14455,17,17,10523.649
GM-14500,107,23,6704.18562
GM-14680,2,31,12010.60944
GM-14695,48,19,14564.942000000001
GM-4440,2,8,735.216
GM-4455,209,4,488.43
GM-4500,105,5,4298.37
GM-4680,73,6,1590.402
GM-4695,223,7,791.502
GP-14740,2,25,10793.729
GP-4740,152,8,4610.103
GR-14560,50,24,8895.05754
GR-4560,154,6,4955.5289999999995
GT-14635,57,20,19080.34784
GT-14710,9,30,34471.89028
GT-14755,35,23,5601.70652
GT-4635,10,7,1145.01
GT-4710,56,4,1079.0639999999999
GT-4755,1,8,3457.578
GW-14605,19,25,16239.4915
GW-4605,15,8,1830.789
GZ-14470,8,35,20869.699
GZ-14545,77,24,11593.7308
GZ-4470,148,8,3835.626
GZ-4545,31,6,3698.388
HA-14905,70,24,15826.81444
HA-14920,21,25,9740.3981
HA-4905,14,4,1106.604
HA-4920,91,6,670.674
HD-14785,43,29,16749.140199999998
HD-4785,107,7,3325.6079999999997
HE-14800,7,27,9902.49522
HE-4800,37,8,1091.3220000000001
HF-14995,15,28,9712.8699
HF-4995,391,8,2099.973
HG-14845,13,30,21228.55452
HG-14965,24,34,16810.6866
HG-15025,7,29,14737.8066
HG-4845,142,9,2987.898
HG-4965,100,5,354.588
HG-5025,24,7,1476.612
HH-15010,55,24,13731.73782
HH-5010,197,3,1497.57
HJ-14875,6,32,14312.7962
HJ-4875,311,6,1121.22
HK-14890,44,27,13886.4431
HK-4890,57,6,1656.966
HL-15040,31,20,29664.23058
HL-5040,189,4,579.336
HM-14860,2,37,27434.1676
HM-14980,26,29,12718.7916
HM-4860,35,4,1042.77
HM-4980,465,5,4409.298
HP-14815,31,24,7321.4395
HP-4815,64,5,1196.682
HR-14770,14,18,11126.929
HR-14830,52,21,9637.15436
HR-4770,188,8,4550.322
HR-4830,149,3,391.93800000000005
HW-14935,35,28,17199.202
HW-4935,57,7,1174.824
HZ-14950,36,22,9656.4048
HZ-4950,209,6,2830.4159999999997
IG-15085,14,25,10383.13098
IG-5085,2,12,5766.243
IL-15100,117,25,11802.69376
IL-5100,164,7,1052.808
IM-15055,16,15,5154.83976
IM-15070,41,27,17854.10112
IM-5055,20,7,4324.95
IM-5070,51,7,2064.066
JA-15970,1,25,17105.4707
JA-5970,1,7,1057.227
JB-15400,8,34,13085.5039
JB-15925,10,19,12325.28696
JB-16000,2,32,22127.18112
JB-16045,1,24,13851.27568
JB-5400,83,7,2172.0299999999997
JB-5925,23,8,1012.092
JB-6000,175,7,1881.006
JB-6045,29,10,3235.656
JC-15340,35,29,17836.2846
JC-15385,9,25,12978.930919999999
JC-15775,2,25,10582.78504
JC-16105,58,28,11079.10488
JC-5340,143,6,606.105
JC-5385,16,9,3183.0750000000003
JC-5775,14,5,1712.487
JC-6105,103,6,3914.94
JD-15790,16,24,10267.74976
JD-15895,7,32,16711.32422
JD-16015,49,24,8690.6293
JD-16060,66,19,7683.04096
JD-16150,1,28,18281.84948
JD-5790,300,5,1323.072
JD-5895,3,6,2770.4339999999997
JD-6015,43,8,2652.7799999999997
JD-6060,141,9,3541.44
JD-6150,22,6,5329.7699999999995
JE-15475,36,22,5905.076
JE-15610,43,26,13192.6924
JE-15715,10,36,22275.2689
JE-15745,33,35,19629.12896
JE-16165,21,20,8352.71836
JE-5475,28,8,914.178
JE-5610,176,6,756.855
JE-5715,87,7,180.29999999999998
JE-5745,195,7,2275.5
JE-6165,37,8,4555.716
JF-15190,7,28,17064.7075
JF-15295,57,24,20382.2503
JF-15355,14,22,7343.566
JF-15415,3,23,14717.46588
JF-15490,5,30,9234.53286
JF-15565,2,29,19844.14866
JF-5190,150,8,3510.1679999999997
JF-5295,64,8,2433.942
JF-5355,97,9,3475.7639999999997
JF-5415,38,11,8227.02
JF-5490,100,7,1487.385
JF-5565,421,6,3776.7000000000003
JG-15115,69,19,12801.82588
JG-15160,2,32,19963.41
JG-15310,3,24,12733.7039
JG-15805,1,37,22015.3862
JG-5115,6,9,2907.678
JG-5160,17,8,1588.116
JG-5310,44,5,836.994
JG-5805,134,3,208.38
JH-15430,6,31,11806.1963
JH-15820,14,31,23586.7205
JH-15910,42,32,12532.7177
JH-15985,12,38,18863.4044
JH-16180,51,31,18267.0064
JH-5430,8,9,883.476
JH-5820,43,7,2359.011
JH-5910,41,8,4013.994
JH-5985,53,7,2073.48
JH-6180,28,9,5651.8949999999995
JJ-15445,34,19,9696.8474
JJ-15760,3,28,18103.64108
JJ-5445,20,6,2490.204
JJ-5760,269,6,1890.126
JK-15205,62,24,10917.0012
JK-15325,78,28,17000.84332
JK-15370,2,27,10189.51404
JK-15625,2,27,12754.4081
JK-15640,1,26,12637.4495
JK-15730,49,34,20825.892
JK-16090,9,33,21918.73684
JK-16120,98,26,13134.71664
JK-5205,592,5,1617.6
JK-5325,461,3,203.38799999999998
JK-5370,145,6,3211.452
JK-5625,317,8,4364.763
JK-5640,174,4,428.43
JK-5730,484,6,5862.87
JK-6090,13,5,1215.516
JK-6120,141,6,2513.07
JL-15130,9,28,12908.49914
JL-15175,7,27,13499.87246
JL-15235,14,24,18725.38964
JL-15505,31,22,8631.695
JL-15835,22,30,22594.043
JL-15850,45,22,8497.68
JL-5130,198,12,5765.400000000001
JL-5175,125,5,1353.09
JL-5235,2,4,1751.712
JL-5505,342,3,2729.3399999999997
JL-5835,55,7,3388.275
JL-5850,698,4,2003.598
JM-15250,36,24,15594.46182
JM-15265,38,29,15036.5537
JM-15535,15,20,6942.403
JM-15580,1,24,13295.857
JM-15655,9,34,16294.727060000001
JM-15865,69,29,20841.946500000002
JM-16195,58,25,7825.5646
JM-5250,7,5,2424.201
JM-5265,121,4,1131.912
JM-5535,244,5,847.827
JM-5580,50,5,880.3230000000001
JM-5655,123,8,3602.67
JM-5865,71,6,1544.268
JM-6195,13,8,1200.492
JO-15145,58,23,10440.976
JO-15280,15,21,7123.5651
JO-15550,72,19,4002.8940000000002
JO-5145,6,6,2904.714
JO-5280,20,4,1694.8500000000001
JO-5550,13,9,4203.78
JP-15460,37,26,10916.36982
JP-15520,9,26,16429.04996
JP-16135,44,34,10163.5086
JP-5460,189,10,3294.018
JP-5520,113,4,2227.524
JP-6135,27,8,4432.650000000001
JR-15670,13,20,13338.0916
JR-15700,8,18,9568.31976
JR-16210,19,21,12589.959
JR-5670,129,6,2585.034
JR-5700,14,6,1673.163
JR-6210,38,6,1033.29
JS-15595,6,18,9334.6385
JS-15685,41,26,14338.5195
JS-15880,12,20,10443.1001
JS-15940,6,15,3874.766
JS-16030,22,32,19218.81298
JS-5595,680,6,806.691
JS-5685,143,5,1944.06
JS-5880,209,6,1745.997
JS-5940,24,13,2927.3399999999997
JS-6030,219,4,1573.038
JW-15220,13,34,23103.7263
JW-15955,6,30,10640.8287
JW-16075,2,25,19852.773
JW-5220,101,6,7184.724
JW-5955,107,2,307.8
JW-6075,267,4,747.21
KA-16525,17,35,17449.90012
KA-6525,94,7,1429.884
KB-16240,5,27,9900.698
KB-16315,3,29,14542.76228
KB-16405,20,28,13786.0925
KB-16585,94,27,16385.749499999998
KB-16600,2,25,10295.9567
KB-6240,202,7,1945.32
KB-6315,23,11,2957.715
KB-6405,388,3,238.548
KB-6585,372,2,216.78000000000003
KB-6600,10,11,1167.738
KC-16255,45,27,9321.9643
KC-16540,42,25,18897.130259999998
KC-16675,3,23,13531.28104
KC-6255,58,8,1094.358
KC-6540,34,7,505.893
KC-6675,20,3,391.842
KD-16270,37,29,23204.2675
KD-16345,42,15,11157.0404
KD-16495,47,36,24996.5031
KD-16615,76,24,12348.44362
KD-6270,812,1,813.06
KD-6345,58,6,536.46
KD-6495,399,4,1454.76
KD-6615,187,3,205.98
KE-16420,27,31,12928.68672
KE-6420,252,4,622.452
KF-16285,38,21,15164.8685
KF-6285,33,9,3100.152
KH-16330,17,26,15045.6445
KH-16360,2,28,9983.5094
KH-16510,23,26,15340.396
KH-16630,9,27,7220.70456
KH-16690,3,39,18158.4601
KH-6330,20,13,3371.208
KH-6360,101,7,2221.365
KH-6510,16,7,1544.34
KH-6630,327,5,1795.866
KH-6690,239,7,1696.014
KL-16555,16,26,12064.3877
KL-16645,48,28,22553.1085
KL-6555,176,7,2184.06
KL-6645,1,5,1576.296
KM-16225,1,18,7754.5516
KM-16375,3,28,16394.46064
KM-16660,16,29,10785.2626
KM-16720,29,23,14041.02
KM-6225,372,3,891.3629999999999
KM-6375,322,5,2124.699
KM-6660,31,3,188.544
KM-6720,350,3,2928.654
KN-16390,20,29,19350.14634
KN-16450,38,26,16294.6981
KN-16705,99,19,5884.778
KN-6390,274,3,318.72
KN-6450,94,8,1767.282
KN-6705,124,5,4830.858
KS-16300,36,21,5103.36318
KS-6300,107,4,221.61
KT-16465,44,32,15725.0362
KT-16480,28,20,6240.6521
KT-6465,106,7,1532.124
