customer_id,Recency,Frequency,Monetary,Cluster
BC-1125,30,6,396.042,2
BD-11320,6,32,13390.267,0
BD-11500,20,27,13089.8495,1
BD-11560,8,19,9356.77974,1
BD-11605,98,19,9202.66214,1
BD-11620,50,25,7849.000019999999,1
BD-11635,10,25,11230.6983,1
BD-11725,5,30,10877.827,1
BD-11770,36,26,10168.32526,1
BD-1320,6,6,1885.05,2
BD-1500,399,3,52.047,3
BD-1560,91,5,1564.02,2
BD-1605,276,5,689.64,3
BD-1620,118,11,2919.597,2
BD-1635,325,9,5689.263,3
BD-1725,101,13,5078.400000000001,2
BD-1770,239,5,3405.066,2
BE-11335,36,37,27158.0184,0
BE-11410,85,30,16552.06996,0
BE-11455,4,27,17643.5253,0
BE-1335,573,5,1321.149,3
BE-1410,22,7,1859.859,2
BE-1455,147,2,1340.31,2
BF-1005,735,2,732.033,3
BF-1020,97,7,3006.996,2
BF-1080,210,6,3808.17,2
BF-10975,36,22,8104.7792,1
BF-11005,9,25,23347.83866,0
BF-11020,16,24,10201.2813,1
BF-11080,26,21,10134.5617,1
BF-11170,17,31,22314.84044,0
BF-11215,27,27,12968.9385,1
BF-11275,7,23,9578.59864,1
BF-1170,194,6,904.92,2
BF-1215,118,5,398.919,2
BF-1275,129,7,1009.974,2
BF-975,23,8,1730.232,2
BG-1035,601,1,124.416,3
BG-11035,29,33,19899.1474,0
BG-11695,10,19,10723.32038,1
BG-11740,7,24,14689.3425,1
BG-1695,45,5,488.85,2
BG-1740,17,4,692.454,2
BH-11710,24,31,23537.335,0
BH-1710,94,10,4583.286,2
BK-11260,27,27,13294.68736,1
BK-1260,41,6,291.564,2
BM-11140,9,29,25312.2927,0
BM-1140,14,6,1857.69,2
BM-11575,35,25,10351.33308,1
BM-11650,34,24,14920.99608,1
BM-11785,3,36,18446.8529,0
BM-1575,41,9,1703.982,2
BM-1650,482,8,2537.106,3
BM-1785,49,9,2244.342,2
BN-11470,12,29,23378.10388,0
BN-11515,10,23,10272.22552,1
BN-1470,23,7,2823.852,2
BN-1515,28,8,2606.802,2
BO-11350,112,20,7476.254699999999,1
BO-11425,6,21,12356.58552,1
BO-1350,22,6,616.236,2
BO-1425,2,8,2671.257,2
BP-1050,12,9,4981.542,2
BP-1095,12,6,1759.668,2
BP-11050,6,21,5403.78676,1
BP-11095,3,32,8327.8696,1
BP-11155,33,24,13696.14346,1
BP-11185,2,28,15376.03172,0
BP-11230,40,23,12573.6136,1
BP-11290,13,29,12448.89978,1
BP-1155,262,6,1110.78,3
BP-1185,5,10,1430.616,2
BP-1230,84,8,6134.988,2
BP-1290,370,4,383.34,3
BS-11365,1,26,22551.02596,0
BS-11380,29,23,18305.9783,0
BS-11590,36,23,11358.58602,1
BS-11665,30,24,17468.881,0
BS-11755,2,29,17557.4595,0
BS-11800,10,21,10887.2118,1
BS-1365,38,5,957.63,2
BS-1380,132,5,469.458,2
BS-1590,238,5,819.4499999999999,2
BS-1665,153,7,5101.907999999999,2
BS-1755,296,5,1679.76,3
BS-1800,12,9,6364.854,2
BT-11305,29,24,10321.82,1
BT-11395,29,24,11347.529,1
BT-11440,52,21,8263.9755,1
BT-11485,31,29,8878.05054,1
BT-11530,34,25,13808.318,1
BT-11680,19,22,14087.7631,1
BT-1305,32,10,1305.96,2
BT-1395,34,4,448.848,2
BT-1440,94,10,2132.565,2
BT-1485,98,9,2803.974,2
BT-1530,353,7,1535.781,3
BT-1680,58,4,807.36,2
BV-11245,45,22,20681.678,0
BV-1245,129,3,684.264,2
BW-1065,23,5,9027.48,2
BW-11065,51,18,8409.0559,1
BW-1110,185,10,1696.83,2
BW-11110,55,35,30613.6165,0
BW-11200,41,29,11862.36908,1
BW-1200,134,4,3105.816,2
CA-11965,19,26,21110.5214,0
CA-12055,14,22,10691.028,1
CA-12265,35,31,18472.6689,0
CA-12310,14,21,7166.23086,1
CA-12775,94,26,18350.464,0
CA-1965,128,8,2883.141,2
CA-2055,259,3,1601.73,3
CA-2265,106,7,3364.638,2
CA-2310,337,5,636.0600000000001,3
CA-2775,310,4,1485.897,3
CB-12025,10,25,11685.3186,1
CB-12415,27,23,12705.54736,1
CB-12535,43,27,18108.67284,0
CB-2025,23,5,1840.89,2
CB-2415,517,4,1232.568,3
CB-2535,8,2,147.12,2
CC-12100,52,25,11500.12324,1
CC-12145,83,24,12190.6666,1
CC-12220,21,32,7308.7328,1
CC-12370,44,30,28229.8514,0
CC-12430,1,29,13997.59256,1
CC-12475,17,30,17159.80046,0
CC-12550,28,25,7908.65034,1
CC-12610,17,29,16822.64,0
CC-12670,17,28,9969.0279,1
CC-12685,55,20,12798.5442,1
CC-2100,61,5,1020.048,2
CC-2145,505,6,1158.18,3
CC-2220,22,12,4174.182,2
CC-2370,7,9,6957.225,2
CC-2430,472,2,1041.57,3
CC-2475,56,7,3709.881,2
CC-2550,272,5,1433.4,3
CC-2610,345,3,782.3879999999999,3
CC-2670,147,6,1527.582,2
CC-2685,132,5,4019.412,2
CD-11920,3,27,18296.7474,0
CD-11980,2,23,11848.16246,1
CD-12280,42,24,16779.54838,0
CD-12790,77,25,13468.1145,1
CD-1920,315,4,1821.219,3
CD-1980,7,7,1380.228,2
CD-2280,13,7,1205.04,2
CD-2790,132,7,1030.788,2
CG-12040,22,19,3596.268,1
CG-12520,29,18,13545.47002,1
CG-2040,379,5,518.94,3
CG-2520,120,7,1116.204,2
CH-12070,90,21,11122.55656,1
CH-2070,307,8,4545.618,3
CJ-11875,14,23,12538.83296,1
CJ-12010,34,26,19356.0046,0
CJ-1875,33,6,1431.432,2
CJ-2010,47,3,223.56,2
CK-12205,5,38,13625.20784,0
CK-12325,62,27,9927.89832,1
CK-12595,44,33,16480.86618,0
CK-12760,58,26,6574.8044,1
CK-2205,80,5,950.697,2
CK-2325,1,8,3125.295,2
CK-2595,216,3,662.28,2
CK-2760,38,12,4015.95,2
CL-11890,14,31,17622.41136,0
CL-12565,6,30,17008.13588,0
CL-12700,9,31,17943.6508,0
CL-1890,93,9,560.745,2
CL-2565,43,6,2775.636,2
CL-2700,142,4,1432.374,2
CM-11815,41,23,14362.8004,1
CM-11830,7,24,16828.819,0
CM-11935,37,18,9689.0124,1
CM-12115,9,20,14657.9493,1
CM-12160,27,26,17910.03942,0
CM-12190,1,25,11375.05222,1
CM-12235,43,22,11377.591,1
CM-12385,38,25,21882.96992,0
CM-12445,16,25,11971.70808,1
CM-12655,28,18,14188.72268,1
CM-12715,42,19,8392.5789,1
CM-1815,62,5,431.874,2
CM-1830,114,13,4777.407,2
CM-1935,49,7,459.294,2
CM-2115,21,3,1907.37,2
CM-2160,50,5,2245.92,2
CM-2190,153,4,1451.49,2
CM-2235,52,5,243.03,2
CM-2385,575,4,580.614,3
CM-2445,349,4,1741.578,3
CM-2655,51,12,1389.834,2
CM-2715,118,7,2838.264,2
CP-12085,70,23,14183.8819,1
CP-12340,9,30,20109.46928,0
CP-2085,143,10,5585.7,2
CP-2340,464,4,5044.65,3
CR-12580,23,20,8700.3125,1
CR-12625,44,28,17271.20568,0
CR-12730,23,24,19487.96376,0
CR-12820,61,24,14470.55056,1
CR-2580,35,5,3057.264,2
CR-2625,140,9,5079.897,2
CR-2730,6,11,1359.576,2
CR-2820,56,8,1188.012,2
CS-11845,16,26,20471.0526,0
CS-11860,78,21,10555.92482,1
CS-11950,26,31,14222.97134,0
CS-12130,12,22,10981.231,1
CS-12175,61,29,16706.0963,0
CS-12250,27,30,12496.1053,1
CS-12355,7,31,9240.897,1
CS-12400,2,23,10221.36436,1
CS-12460,7,23,20084.21728,0
CS-12490,3,30,11110.4965,1
CS-12505,28,16,11535.2464,1
CS-1845,25,8,1593.312,2
CS-1860,51,9,1618.674,2
CS-1950,136,5,714.072,2
CS-2130,306,4,1367.268,3
CS-2175,58,5,3340.098,2
CS-2250,3,4,1917.624,2
CS-2355,56,9,1307.16,2
CS-2400,12,5,2293.17,2
CS-2460,203,8,2671.227,2
CS-2490,170,3,1664.13,2
CS-2505,51,7,1894.5,2
CT-11995,29,27,13715.79704,1
CT-1995,784,2,422.778,3
CV-12295,40,20,9042.26818,1
CV-12805,5,20,9764.1306,1
CV-2295,86,9,1283.241,2
CV-2805,258,7,5088.852,3
CW-11905,9,25,12917.6316,1
CW-1905,385,4,1436.31,3
CY-12745,61,31,13928.4683,0
CY-2745,493,4,293.034,3
Co-12640,5,25,12279.23076,1
Co-2640,363,5,767.637,3
DA-13450,14,25,13035.36826,1
DA-3450,15,4,2212.05,2
DB-12910,3,27,12338.2837,1
DB-12970,218,11,9166.2092,2
DB-13060,17,26,23476.91166,0
DB-13120,6,16,5602.59462,1
DB-13210,8,27,13743.5959,1
DB-13270,10,25,11690.3695,1
DB-13360,48,28,6919.81436,1
DB-13405,29,26,16083.95666,0
DB-13555,37,22,9415.2204,1
DB-13615,28,28,10031.4568,1
DB-13660,13,20,11397.06484,1
DB-2910,55,8,3051.18,2
DB-2970,58,4,513.03,2
DB-3060,9,8,2070.258,2
DB-3120,359,4,671.232,3
DB-3210,583,7,387.021,3
DB-3270,49,2,886.23,2
DB-3360,435,2,3691.53,3
DB-3405,558,2,548.682,3
DB-3555,6,3,971.112,2
DB-3615,108,4,2824.152,2
DB-3660,238,3,2207.712,2
DC-12850,38,29,9307.3655,1
DC-13285,19,23,16164.6499,0
DC-2850,35,9,4131.144,2
DC-3285,393,4,800.004,3
DD-13570,42,24,8741.4648,1
DD-3570,64,8,2331.414,2
DE-13255,20,22,10085.79,1
DE-3255,49,8,2714.49,2
DF-13135,10,18,10240.3839,1
DF-3135,44,4,1301.652,2
DG-13300,31,28,13731.428,1
DG-3300,15,6,2982.312,2
DH-13075,76,25,14128.6781,1
DH-13675,22,17,7817.3085,1
DH-3075,160,10,2063.682,2
DH-3675,21,12,4661.844,2
DJ-13420,23,28,22142.43114,0
DJ-13510,7,31,15420.2879,0
DJ-13630,13,27,12560.13,1
DJ-3420,2,4,419.64,2
DJ-3510,7,7,5976.6900000000005,2
DJ-3630,35,6,1293.948,2
DK-12835,22,32,17590.5547,0
DK-12895,46,22,18340.62916,0
DK-12985,2,35,14823.9685,0
DK-13090,9,36,19178.6392,0
DK-13150,11,22,15983.711,1
DK-13225,2,29,9246.4686,1
DK-13375,5,26,16258.534,0
DK-2835,22,11,3373.143,2
DK-2895,147,6,1292.13,2
DK-2985,1207,1,81.432,3
DK-3090,69,3,273.76800000000003,2
DK-3150,58,14,1577.874,2
DK-3225,66,8,1407.984,2
DK-3375,118,10,3846.78,2
DL-12865,58,34,11185.7181,1
DL-12925,58,21,11364.6808,1
DL-13315,19,27,18505.6005,0
DL-13330,13,34,16781.631,0
DL-13495,23,27,15872.184,0
DL-2865,203,7,1502.964,2
DL-2925,38,7,831.996,2
DL-3315,48,6,1746.87,2
DL-3330,706,3,1159.35,3
DL-3495,283,5,773.604,3
DM-12955,41,32,19862.57592,0
DM-13015,6,30,15626.5318,0
DM-13345,3,27,17054.8905,0
DM-13525,36,19,9640.38168,1
DM-2955,13,9,2437.407,2
DM-3015,3,6,2105.79,2
DM-3345,146,6,4998.42,2
DM-3525,322,6,2191.266,3
DN-13690,20,24,13098.338,1
DN-3690,13,5,1815.954,2
DO-13435,65,32,15280.8855,0
DO-13645,27,25,12083.48092,1
DO-3435,37,10,3515.73,2
DO-3645,42,5,1689.252,2
DP-13000,62,31,13882.7624,0
DP-13105,7,25,18930.0322,0
DP-13165,8,25,22211.28212,0
DP-13390,1,27,10282.7912,1
DP-3000,15,10,2093.61,2
DP-3105,65,6,6970.715999999999,2
DP-3165,8,6,1517.952,2
DP-3390,13,6,1376.13,2
DR-12880,4,32,14415.3383,0
DR-12940,28,33,25641.46492,0
DR-2880,5,8,2291.463,2
DR-2940,40,8,2288.4,2
DS-13030,94,26,11644.2965,1
DS-13180,15,31,13447.412,1
DS-3030,49,6,1636.512,2
DS-3180,72,2,185.136,2
DV-13045,20,24,18106.01292,0
DV-13465,30,20,12910.87688,1
DV-3045,34,13,4640.319,2
DV-3465,14,5,4037.82,2
DW-13195,7,26,9689.3171,1
DW-13480,66,23,16336.8556,0
DW-13540,13,20,13166.415,1
DW-13585,6,37,12143.0436,0
DW-3195,1064,4,1241.226,3
DW-3480,56,12,7118.106000000001,2
DW-3540,55,4,1216.587,2
DW-3585,29,4,461.874,2
Dl-13600,6,20,11912.7634,1
Dl-3600,112,10,2809.056,2
Dp-13240,19,28,22225.61032,0
Dp-3240,26,7,609.3,2
EA-14035,94,31,11387.06772,1
EA-4035,166,3,131.808,2
EB-13705,49,30,12382.2841,1
EB-13750,33,20,8489.991,1
EB-13840,3,25,20188.15894,0
EB-13870,16,19,6850.983700000001,1
EB-13930,20,18,9533.9519,1
EB-13975,1,32,13405.6013,0
EB-14110,36,24,13665.4673,1
EB-14170,20,23,6736.4391,1
EB-3705,399,3,3141.63,3
EB-3750,185,6,939.153,2
EB-3840,44,6,1797.738,2
EB-3870,498,5,184.872,3
EB-3930,8,9,2433.516,2
EB-3975,36,9,2713.62,2
EB-4110,21,10,2417.757,2
EB-4170,55,6,1267.62,2
EC-14050,54,19,4430.2361,1
EC-4050,163,7,2301.315,2
ED-13885,16,31,18018.879,0
ED-3885,57,8,525.474,2
EG-13900,23,21,16562.35068,1
EG-3900,52,11,6549.951,2
EH-13765,3,29,20259.916,0
EH-13945,58,27,7832.68602,1
EH-13990,45,26,8807.0846,1
EH-14005,3,28,10374.9381,1
EH-14125,103,31,17408.31362,0
EH-14185,68,29,12800.51382,1
EH-3765,129,9,1010.382,2
EH-3945,112,9,2518.74,2
EH-3990,34,6,672.489,2
EH-4005,197,7,2629.674,2
EH-4125,23,13,5012.22,2
EH-4185,122,8,3577.77,2
EJ-13720,50,22,8969.44,1
EJ-14155,28,23,12324.8446,1
EJ-3720,157,8,1727.964,2
EJ-4155,23,5,2631.99,2
EK-13795,45,17,5597.3462,1
EK-3795,213,6,1531.083,2
EL-13735,54,23,10515.862,1
EL-3735,27,11,3691.392,2
EM-13810,79,23,13549.72804,1
EM-13825,56,26,14128.07816,1
EM-13960,3,37,25228.52948,0
EM-14065,17,17,12108.30958,1
EM-14095,9,17,10889.6997,1
EM-14140,25,30,21507.29126,0
EM-14200,42,23,17087.77766,0
EM-3810,59,6,1032.879,2
EM-3825,483,6,378.258,3
EM-3960,195,8,2855.874,2
EM-4065,53,9,3213.246,2
EM-4095,132,9,2833.56,2
EM-4140,94,6,1900.791,2
EM-4200,152,4,2585.898,2
EN-13780,15,20,6333.9164,1
EN-3780,206,8,734.856,2
EP-13915,13,33,16283.35774,0
EP-3915,76,3,487.9500000000001,2
ER-13855,70,19,13396.0,1
ER-3855,54,7,3736.296,2
ES-14020,1,32,12827.27294,1
ES-14080,29,24,16236.0058,0
ES-4020,29,7,1892.778,2
ES-4080,146,9,1925.544,2
FA-14230,23,29,13535.0628,1
FA-4230,185,6,814.572,2
FC-14245,43,23,10867.8088,1
FC-14335,108,23,8770.73964,1
FC-4245,492,6,1540.638,3
FC-4335,111,4,550.95,2
FG-14260,35,18,9396.5055,1
FG-4260,111,9,308.211,2
FH-14275,5,23,13569.566,1
FH-14350,2,20,10654.52882,1
FH-14365,2,30,27649.32652,0
FH-4275,135,5,113.064,2
FH-4350,15,3,110.481,2
FH-4365,167,9,2751.348,2
FM-14215,8,31,14353.3978,0
FM-14290,37,30,14382.31922,0
FM-14380,146,21,6598.3977,1
FM-4215,97,6,2935.614,2
FM-4290,3,8,2002.71,2
FM-4380,2,6,843.54,2
FO-14305,23,37,15614.2155,0
FO-4305,52,10,2158.446,2
FP-14320,24,29,9939.0502,1
FP-4320,28,5,816.582,2
FW-14395,64,26,16972.7481,0
FW-4395,1,8,1220.811,2
GA-14515,23,24,12488.67232,1
GA-14725,3,24,8817.5455,1
GA-4515,36,7,1318.389,2
GA-4725,71,4,1460.796,2
GB-14530,34,25,11657.753,1
GB-14575,14,24,10748.99238,1
GB-4530,114,5,525.9,2
GB-4575,210,6,1821.912,2
GD-14590,6,29,18005.0006,0
GD-4590,353,4,700.692,3
GG-14650,34,28,12902.96276,1
GG-4650,104,5,1000.422,2
GH-14410,21,36,13659.59598,0
GH-14425,19,31,20039.763,0
GH-14485,52,21,14692.6742,1
GH-14665,3,29,12921.45162,1
GH-4410,298,9,1610.22,3
GH-4425,22,10,4585.83,2
GH-4485,86,4,794.622,2
GH-4665,2,9,1077.069,2
GK-14620,13,24,19215.7699,0
GK-4620,101,4,764.601,2
GM-14440,20,26,15782.46188,0
GM-14455,17,17,10523.649,1
GM-14500,107,23,6704.18562,1
GM-14680,2,31,12010.60944,1
GM-14695,48,19,14564.942,1
GM-4440,2,8,735.216,2
GM-4455,209,4,488.43,2
GM-4500,105,5,4298.37,2
GM-4680,73,6,1590.402,2
GM-4695,223,7,791.502,2
GP-14740,2,25,10793.729,1
GP-4740,152,8,4610.103,2
GR-14560,50,24,8895.05754,1
GR-4560,154,6,4955.529,2
GT-14635,57,20,19080.34784,0
GT-14710,9,30,34471.89028,0
GT-14755,35,23,5601.70652,1
GT-4635,10,7,1145.01,2
GT-4710,56,4,1079.064,2
GT-4755,1,8,3457.578,2
GW-14605,19,25,16239.4915,0
GW-4605,15,8,1830.789,2
GZ-14470,8,35,20869.699,0
GZ-14545,77,24,11593.7308,1
GZ-4470,148,8,3835.626,2
GZ-4545,31,6,3698.388,2
HA-14905,70,24,15826.81444,1
HA-14920,21,25,9740.3981,1
HA-4905,14,4,1106.604,2
HA-4920,91,6,670.674,2
HD-14785,43,29,16749.140199999998,0
HD-4785,107,7,3325.608,2
HE-14800,7,27,9902.49522,1
HE-4800,37,8,1091.322,2
HF-14995,15,28,9712.8699,1
HF-4995,391,8,2099.973,3
HG-14845,13,30,21228.55452,0
HG-14965,24,34,16810.6866,0
HG-15025,7,29,14737.8066,0
HG-4845,142,9,2987.898,2
HG-4965,100,5,354.588,2
HG-5025,24,7,1476.612,2
HH-15010,55,24,13731.73782,1
HH-5010,197,3,1497.57,2
HJ-14875,6,32,14312.7962,0
HJ-4875,311,6,1121.22,3
HK-14890,44,27,13886.4431,1
HK-4890,57,6,1656.966,2
HL-15040,31,20,29664.23058,0
HL-5040,189,4,579.336,2
HM-14860,2,37,27434.1676,0
HM-14980,26,29,12718.7916,1
HM-4860,35,4,1042.77,2
HM-4980,465,5,4409.298,3
HP-14815,31,24,7321.4395,1
HP-4815,64,5,1196.682,2
HR-14770,14,18,11126.929,1
HR-14830,52,21,9637.15436,1
HR-4770,188,8,4550.322,2
HR-4830,149,3,391.9380000000001,2
HW-14935,35,28,17199.202,0
HW-4935,57,7,1174.824,2
HZ-14950,36,22,9656.4048,1
HZ-4950,209,6,2830.416,2
IG-15085,14,25,10383.13098,1
IG-5085,2,12,5766.243,2
IL-15100,117,25,11802.69376,1
IL-5100,164,7,1052.808,2
IM-15055,16,15,5154.83976,2
IM-15070,41,27,17854.10112,0
IM-5055,20,7,4324.95,2
IM-5070,51,7,2064.066,2
JA-15970,1,25,17105.4707,0
JA-5970,1,7,1057.227,2
JB-15400,8,34,13085.5039,0
JB-15925,10,19,12325.28696,1
JB-16000,2,32,22127.18112,0
JB-16045,1,24,13851.27568,1
JB-5400,83,7,2172.03,2
JB-5925,23,8,1012.092,2
JB-6000,175,7,1881.006,2
JB-6045,29,10,3235.656,2
JC-15340,35,29,17836.2846,0
JC-15385,9,25,12978.93092,1
JC-15775,2,25,10582.78504,1
JC-16105,58,28,11079.10488,1
JC-5340,143,6,606.105,2
JC-5385,16,9,3183.0750000000003,2
JC-5775,14,5,1712.487,2
JC-6105,103,6,3914.94,2
JD-15790,16,24,10267.74976,1
JD-15895,7,32,16711.32422,0
JD-16015,49,24,8690.6293,1
JD-16060,66,19,7683.04096,1
JD-16150,1,28,18281.84948,0
JD-5790,300,5,1323.072,3
JD-5895,3,6,2770.434,2
JD-6015,43,8,2652.78,2
JD-6060,141,9,3541.44,2
JD-6150,22,6,5329.77,2
JE-15475,36,22,5905.076,1
JE-15610,43,26,13192.6924,1
JE-15715,10,36,22275.2689,0
JE-15745,33,35,19629.12896,0
JE-16165,21,20,8352.71836,1
JE-5475,28,8,914.178,2
JE-5610,176,6,756.855,2
JE-5715,87,7,180.3,2
JE-5745,195,7,2275.5,2
JE-6165,37,8,4555.716,2
JF-15190,7,28,17064.7075,0
JF-15295,57,24,20382.2503,0
JF-15355,14,22,7343.566,1
JF-15415,3,23,14717.46588,1
JF-15490,5,30,9234.53286,1
JF-15565,2,29,19844.14866,0
JF-5190,150,8,3510.168,2
JF-5295,64,8,2433.942,2
JF-5355,97,9,3475.764,2
JF-5415,38,11,8227.02,2
JF-5490,100,7,1487.385,2
JF-5565,421,6,3776.7,3
JG-15115,69,19,12801.82588,1
JG-15160,2,32,19963.41,0
JG-15310,3,24,12733.7039,1
JG-15805,1,37,22015.3862,0
JG-5115,6,9,2907.678,2
JG-5160,17,8,1588.116,2
JG-5310,44,5,836.994,2
JG-5805,134,3,208.38,2
JH-15430,6,31,11806.1963,1
JH-15820,14,31,23586.7205,0
JH-15910,42,32,12532.7177,1
JH-15985,12,38,18863.4044,0
JH-16180,51,31,18267.0064,0
JH-5430,8,9,883.476,2
JH-5820,43,7,2359.011,2
JH-5910,41,8,4013.994,2
JH-5985,53,7,2073.48,2
JH-6180,28,9,5651.895,2
JJ-15445,34,19,9696.8474,1
JJ-15760,3,28,18103.64108,0
JJ-5445,20,6,2490.204,2
JJ-5760,269,6,1890.126,3
JK-15205,62,24,10917.0012,1
JK-15325,78,28,17000.84332,0
JK-15370,2,27,10189.51404,1
JK-15625,2,27,12754.4081,1
JK-15640,1,26,12637.4495,1
JK-15730,49,34,20825.892,0
JK-16090,9,33,21918.73684,0
JK-16120,98,26,13134.71664,1
JK-5205,592,5,1617.6,3
JK-5325,461,3,203.388,3
JK-5370,145,6,3211.452,2
JK-5625,317,8,4364.763,3
JK-5640,174,4,428.43,2
JK-5730,484,6,5862.87,3
JK-6090,13,5,1215.516,2
JK-6120,141,6,2513.07,2
JL-15130,9,28,12908.49914,1
JL-15175,7,27,13499.87246,1
JL-15235,14,24,18725.38964,0
JL-15505,31,22,8631.695,1
JL-15835,22,30,22594.043,0
JL-15850,45,22,8497.68,1
JL-5130,198,12,5765.400000000001,2
JL-5175,125,5,1353.09,2
JL-5235,2,4,1751.712,2
JL-5505,342,3,2729.34,3
JL-5835,55,7,3388.275,2
JL-5850,698,4,2003.598,3
JM-15250,36,24,15594.46182,1
JM-15265,38,29,15036.5537,0
JM-15535,15,20,6942.403,1
JM-15580,1,24,13295.857,1
JM-15655,9,34,16294.72706,0
JM-15865,69,29,20841.9465,0
JM-16195,58,25,7825.5646,1
JM-5250,7,5,2424.201,2
JM-5265,121,4,1131.912,2
JM-5535,244,5,847.827,2
JM-5580,50,5,880.3230000000001,2
JM-5655,123,8,3602.67,2
JM-5865,71,6,1544.268,2
JM-6195,13,8,1200.492,2
JO-15145,58,23,10440.976,1
JO-15280,15,21,7123.5651,1
JO-15550,72,19,4002.894,1
JO-5145,6,6,2904.714,2
JO-5280,20,4,1694.85,2
JO-5550,13,9,4203.78,2
JP-15460,37,26,10916.36982,1
JP-15520,9,26,16429.04996,0
JP-16135,44,34,10163.5086,1
