customer_id,Recency,Frequency,Monetary,Cluster,CLV,Customer_Value
JL-15835,22,30,22594.043,0,677821.29,High
KD-16270,37,29,23204.2675,0,672923.7575000001,High
MM-17920,8,33,20383.654,0,672660.5819999999,High
MP-17965,28,39,17228.4977,0,671911.4103,High
RB-19795,33,35,19056.88134,0,666990.8469,High
BM-11785,3,36,18446.8529,0,664086.7044,High
BG-11035,29,33,19899.1474,0,656671.8642000001,High
PP-18955,55,30,21884.1846,0,656525.5380000001,High
SM-20320,22,21,31125.29496,0,653631.19416,High
MF-18250,8,32,20425.2996,0,653609.5872,High
SB-20185,75,31,21034.46172,0,652068.31332,High
NM-18445,31,32,20223.2359,0,647143.5488,High
EM-14140,25,30,21507.29126,0,645218.7378,High
SS-20140,16,32,20138.60304,0,644435.29728,High
AB-10015,17,32,20037.4975,0,641199.92,High
JG-15160,2,32,19963.41,0,638829.12,High
HG-14845,13,30,21228.55452,0,636856.6356,High
DM-12955,41,32,19862.57592,0,635602.42944,High
WB-21850,21,38,16704.6612,0,634777.1255999999,High
KL-16645,48,28,22553.1085,0,631487.038,High
TS-21370,37,27,23201.678,0,626445.306,High
MS-17770,35,36,17382.93504,0,625785.66144,High
OT-18730,34,32,19493.76566,0,623800.50112,High
Dp-13240,19,28,22225.61032,0,622317.08896,High
GH-14425,19,31,20039.763,0,621232.6529999999,High
DJ-13420,23,28,22142.43114,0,619988.07192,High
RB-19465,1,36,17178.4394,0,618423.8184,High
TS-21610,21,30,20565.95,0,616978.5,High
AH-10075,3,34,18109.86142,0,615735.28828,High
JS-16030,22,32,19218.81298,0,615002.01536,High
KA-16525,17,35,17449.90012,0,610746.5042,High
DB-13060,17,26,23476.91166,0,610399.70316,High
JM-15865,69,29,20841.9465,0,604416.4484999999,High
CP-12340,9,30,20109.46928,0,603284.0784,High
PS-18970,28,33,18222.40482,0,601339.35906,High
AS-10225,13,28,21366.8987,0,598273.1636000001,High
SC-20380,31,37,16122.72424,0,596540.79688,High
HL-15040,31,20,29664.23058,0,593284.6116,High
SP-20620,6,31,19113.6707,0,592523.7917,High
TT-21460,13,32,18432.01346,0,589824.43072,High
AB-10060,43,32,18416.5504,0,589329.6128,High
EH-13765,3,29,20259.916,0,587537.564,High
RB-19330,16,32,18359.76862,0,587512.59584,High
BS-11365,1,26,22551.02596,0,586326.67496,High
ON-18715,48,33,17763.94824,0,586210.2919200001,High
BF-11005,9,25,23347.83866,0,583695.9665,High
LR-16915,27,26,22434.08756,0,583286.27656,High
AR-10825,23,38,15311.0356,0,581819.3528,High
FO-14305,23,37,15614.2155,0,577725.9735,High
PF-19165,92,36,16018.8427,0,576678.3372,High
MW-18220,18,28,20592.0813,0,576578.2764000001,High
JF-15565,2,29,19844.14866,0,575480.31114,High
CA-12265,35,31,18472.6689,0,572652.7359,High
HG-14965,24,34,16810.6866,0,571563.3444000001,High
DL-13330,13,34,16781.631,0,570575.454,High
TB-21520,31,34,16716.76172,0,568369.89848,High
SR-20740,24,33,17220.18,0,568265.9400000001,High
RA-19915,13,27,20975.19342,0,566330.22234,High
JH-16180,51,31,18267.0064,0,566277.1984,High
DK-12835,22,32,17590.5547,0,562897.7504,High
TC-21295,28,29,19391.8981,0,562365.0449,High
SZ-20035,14,37,15192.376,0,562117.912,High
KN-16390,20,29,19350.14634,0,561154.2438599999,High
ED-13885,16,31,18018.879,0,558585.2490000001,High
CL-12700,9,31,17943.6508,0,556253.1748,High
TB-21400,26,26,21375.988,0,555775.6880000001,High
DP-13165,8,25,22211.28212,0,555282.053,High
JM-15655,9,34,16294.72706,0,554020.7200399999,High
AA-10645,29,36,15343.8907,0,552380.0652,High
AM-10360,16,33,16730.3296,0,552100.8768000001,High
NS-18640,37,37,14866.087,0,550045.219,High
CA-11965,19,26,21110.5214,0,548873.5564,High
RP-19390,16,34,16114.9075,0,547906.855,High
CM-12385,38,25,21882.96992,0,547074.248,High
CL-11890,14,31,17622.41136,0,546294.7521599999,High
RO-19780,36,29,18833.4355,0,546169.6295,High
CK-12595,44,33,16480.86618,0,543868.58394,High
YC-21895,5,27,19998.0786,0,539948.1222,High
EH-14125,103,31,17408.31362,0,539657.72222,High
SD-20485,16,32,16802.0649,0,537666.0768,High
EP-13915,13,33,16283.35774,0,537350.80542,High
JD-15895,7,32,16711.32422,0,534762.37504,High
CS-11845,16,26,20471.0526,0,532247.3676,High
NG-18430,28,28,18970.41454,0,531171.6071200001,High
AG-10900,58,29,18174.17176,0,527050.98104,High
TS-21340,9,31,16997.02948,0,526907.91388,High
GD-14590,6,29,18005.0006,0,522145.0174,High
VG-21805,3,23,22573.37116,0,519187.53667999996,High
DK-12985,2,35,14823.9685,0,518838.8975,High
NZ-18565,86,26,19941.69812,0,518484.15112000005,High
CK-12205,5,38,13625.20784,0,517757.89791999996,High
LT-16765,7,30,17253.78294,0,517613.4882,High
JC-15340,35,29,17836.2846,0,517252.2534,High
CC-12475,17,30,17159.80046,0,514794.01379999996,High
SW-20275,22,33,15564.9667,0,513643.9011,High
PK-19075,9,29,17668.910499999998,0,512398.40449999995,High
PG-18820,21,35,14635.9446,0,512258.06100000005,High
PB-19210,9,27,18967.662,0,512126.874,High
JD-16150,1,28,18281.84948,0,511891.78544,High
CL-12565,6,30,17008.13588,0,510244.0764,High
BS-11755,2,29,17557.4595,0,509166.32550000004,High
SC-20230,17,25,20333.868,0,508346.69999999995,High
AP-10915,77,32,15877.8603,0,508091.5296,High
JJ-15760,3,28,18103.64108,0,506901.95024000003,High
RD-19585,26,31,16315.1079,0,505768.3449,High
EB-13840,3,25,20188.15894,0,504703.9735,High
AH-10690,31,31,16276.16112,0,504560.99472,High
SC-20050,41,30,16813.21902,0,504396.57060000004,High
CJ-12010,34,26,19356.0046,0,503256.1196,High
KT-16465,44,32,15725.0362,0,503201.1584,High
DL-13315,19,27,18505.6005,0,499651.2135,High
BE-11410,85,30,16552.06996,0,496562.09880000004,High
JW-16075,2,25,19852.773,0,496319.325,High
LC-16885,17,29,17058.8144,0,494705.6176,High
CD-11920,3,27,18296.7474,0,494012.1798,High
MD-17350,27,30,16455.32732,0,493659.8196,High
GH-14410,21,36,13659.59598,0,491745.45528,High
NC-18625,21,29,16901.51758,0,490144.00982,High
JF-15295,57,24,20382.2503,0,489174.0072,High
DO-13435,65,32,15280.8855,0,488988.336,High
CB-12535,43,27,18108.67284,0,488934.16667999997,High
CC-12610,17,29,16822.64,0,487856.56,High
YS-21880,10,26,18703.606,0,486293.756,High
TT-21070,15,31,15673.0639,0,485864.98089999997,High
HD-14785,43,29,16749.140199999998,0,485725.0657999999,High
RW-19540,43,25,19423.6885,0,485592.2125,High
AS-10285,19,30,16179.86246,0,485395.8738,High
CS-12175,61,29,16706.0963,0,484476.79270000005,High
CR-12625,44,28,17271.20568,0,483593.75904,High
AD-10180,30,27,17858.5048,0,482179.6296,High
IM-15070,41,27,17854.10112,0,482060.73024,High
HW-14935,35,28,17199.202,0,481577.656,High
AS-10090,16,32,15009.47272,0,480303.12704,High
DJ-13510,7,31,15420.2879,0,478028.9249,High
JF-15190,7,28,17064.7075,0,477811.81,High
CA-12775,94,26,18350.464,0,477112.064,High
MG-17875,6,33,14452.82062,0,476943.08046,High
BE-11455,4,27,17643.5253,0,476375.1831,High
JK-15325,78,28,17000.84332,0,476023.61296,High
TS-21505,12,27,17613.4163,0,475562.2401,High
MG-18205,3,29,16362.8956,0,474523.97239999997,High
VP-21760,76,28,16935.5635,0,474195.778,High
VW-21775,7,30,15785.3774,0,473561.322,High
DP-13105,7,25,18930.0322,0,473250.80500000005,High
KC-16540,42,25,18897.13026,0,472428.2565,High
MC-17575,28,33,14281.65306,0,471294.55098,High
SJ-20215,29,32,14709.69868,0,470710.35776,High
DM-13015,6,30,15626.5318,0,468795.954,High
SA-20830,64,30,15622.37866,0,468671.35980000003,High
CR-12730,23,24,19487.96376,0,467711.13023999997,High
RF-19840,7,31,15077.47568,0,467401.74608,High
MV-18190,20,30,15577.0356,0,467311.06799999997,High
CM-12160,27,26,17910.03942,0,465661.02492,High
SC-20770,41,32,14495.11408,0,463843.65056,High
MC-17845,2,31,14947.88402,0,463384.40462,High
CS-12460,7,23,20084.21728,0,461936.99744,High
DR-12880,4,32,14415.3383,0,461290.8256,High
GK-14620,13,24,19215.7699,0,461178.4776,High
TG-21640,6,33,13973.7773,0,461134.6509,High
TC-21145,12,25,18419.94306,0,460498.5765,High
DM-13345,3,27,17054.8905,0,460482.0435,High
SL-20155,30,32,14380.691,0,460182.112,High
SC-20305,30,26,17696.722,0,460114.77200000006,High
KM-16375,3,28,16394.46064,0,459044.89792,High
HJ-14875,6,32,14312.7962,0,458009.4784,High
BV-11245,45,22,20681.678,0,454996.91599999997,High
VT-21700,8,25,18099.3061,0,452482.6525,High
MB-17305,2,27,16729.34532,0,451692.32364,High
MC-17425,24,30,15055.40518,0,451662.1554,High
ST-20530,7,32,14064.01106,0,450048.35392,High
MG-17680,37,28,16061.6441,0,449726.03479999996,High
ML-17410,34,30,14981.7043,0,449451.12899999996,High
JL-15235,14,24,18725.38964,0,449409.35136000003,High
DW-13585,6,37,12143.0436,0,449292.6132,High
TB-21175,40,27,16573.5984,0,447487.1568,High
AG-10495,79,29,15380.31006,0,446028.99173999997,High
PS-18760,30,28,15926.5494,0,445943.3832,High
RD-19480,1,27,16487.1909,0,445154.15430000005,High
FM-14215,8,31,14353.3978,0,444955.33180000004,High
JB-15400,8,34,13085.5039,0,444907.1326,High
TS-21205,27,32,13888.62492,0,444435.99744,High
MR-17545,98,23,19246.7123,0,442674.38289999997,High
KB-16585,94,27,16385.749499999998,0,442415.23649999994,High
MB-18085,45,30,14744.23088,0,442326.9264,High
FW-14395,64,26,16972.7481,0,441291.45060000004,High
CS-11950,26,31,14222.97134,0,440912.11154,High
VM-21685,33,32,13708.12232,0,438659.91424,High
MS-17980,27,27,16210.5722,0,437685.44940000004,High
MD-17860,37,28,15575.64874,0,436118.16472,High
JM-15265,38,29,15036.5537,0,436060.0573,High
MG-18145,3,24,18147.9582,0,435550.9968,High
DV-13045,20,24,18106.01292,0,434544.31008,High
CY-12745,61,31,13928.4683,0,431782.5173,High
FM-14290,37,30,14382.31922,0,431469.5766,High
BP-11185,2,28,15376.03172,0,430528.88816000003,High
MW-18235,17,24,17933.0609,0,430393.46160000004,High
DP-13000,62,31,13882.7624,0,430365.6344,High
EB-13975,1,32,13405.6013,0,428979.2416,High
DL-13495,23,27,15872.184,0,428548.968,High
BD-11320,6,32,13390.267,0,428488.544,High
JA-15970,1,25,17105.4707,0,427636.7675,High
HG-15025,7,29,14737.8066,0,427396.3914,High
JP-15520,9,26,16429.04996,0,427155.29896,High
SV-20935,1,28,15197.6927,0,425535.3956,High
SS-20410,34,27,15759.48198,0,425506.01346,High
SH-20395,24,33,12849.17384,1,424022.73672,High
KN-16450,38,26,16294.6981,0,423662.1506,High
DK-13375,5,26,16258.534,0,422721.88399999996,High
NH-18610,21,22,19181.9263,0,422002.3786,High
KB-16315,3,29,14542.76228,0,421740.10612,High
AG-10330,9,29,14534.50618,0,421500.67922,High
BS-11380,29,23,18305.9783,0,421037.5009,High
SO-20335,30,27,15534.94692,0,419443.56684,High
SC-20725,8,30,13975.42408,0,419262.7224,High
BS-11665,30,24,17468.881,0,419253.14400000003,High
LR-17035,46,26,16118.9722,0,419093.2772,High
QJ-19255,26,23,18192.9231,0,418437.2313,High
DB-13405,29,26,16083.95666,0,418182.87316,High
SC-20680,22,31,13477.05528,1,417788.71368000004,High
DS-13180,15,31,13447.412,1,416869.772,High
BC-11125,34,28,14789.447,0,414104.516,High
AR-10510,15,29,14277.88536,0,414058.67544,High
MY-17380,30,28,14724.1472,0,412276.12159999995,High
TB-21625,31,31,13266.1971,1,411252.1101,High
BB-11545,29,26,15797.57188,0,410736.86887999997,High
ES-14020,1,32,12827.27294,1,410472.73408,High
GM-14440,20,26,15782.46188,0,410344.00888000004,High
MK-17905,22,31,13202.4489,1,409275.91589999996,High
TZ-21445,9,28,14601.6714,0,408846.7992,High
MM-17260,5,26,15713.71812,0,408556.67112,High
SB-20290,42,22,18538.5328,0,407847.72160000005,High
LH-17155,76,29,14063.4898,1,407841.2042,High
GW-14605,19,25,16239.4915,0,405987.2875,High
CC-12430,1,29,13997.59256,1,405930.18424,High
LP-17095,10,26,15598.1516,0,405551.94159999996,High
MG-17695,1,25,16221.6268,0,405540.67,High
RR-19525,1,27,15009.2866,0,405250.73819999996,High
ML-17755,2,28,14425.1044,1,403902.9232,High
CM-11830,7,24,16828.819,0,403891.65599999996,High
RA-19285,6,24,16816.427,0,403594.248,High
DK-12895,46,22,18340.62916,0,403493.84152,High
CD-12280,42,24,16779.54838,0,402709.16112,High
PO-19180,161,24,16753.1715,0,402076.11600000004,High
RM-19375,19,25,16077.68112,0,401942.028,High
JH-15910,42,32,12532.7177,1,401046.9664,High
LD-16855,43,30,13361.93258,1,400857.97740000003,High
KE-16420,27,31,12928.68672,1,400789.28832,High
MJ-17740,22,26,15347.655,0,399039.03,High
KH-16510,23,26,15340.396,0,398850.29600000003,High
NW-18400,173,26,15326.83306,1,398497.65956,High
MC-17275,45,34,11680.0495,1,397121.68299999996,High
PW-19030,8,31,12810.05846,1,397111.81226000004,High
TB-21055,36,29,13671.71072,1,396479.61088,High
LC-17140,14,30,13128.24376,1,393847.31279999996,High
TG-21310,15,32,12305.2316,1,393767.4112,High
RS-19420,77,28,14047.14948,1,393320.18544000003,High
EM-14200,42,23,17087.77766,0,393018.88618,High
AO-10810,37,27,14537.7966,1,392520.5082,High
FA-14230,23,29,13535.0628,1,392516.8212,High
KH-16330,17,26,15045.6445,1,391186.757,High
RD-19900,33,29,13485.748,1,391086.692,High
PG-18895,3,28,13941.6862,1,390367.2136,High
AH-10030,13,27,14439.49784,1,389866.44168,High
ES-14080,29,24,16236.0058,0,389664.13920000003,High
MF-17665,52,29,13366.53134,1,387629.40885999997,High
KB-16405,20,28,13786.0925,1,386010.59,High
SV-20785,23,27,14262.9351,1,385099.2477,High
DG-13300,31,28,13731.428,1,384479.984,High
PR-18880,26,29,13243.62082,1,384065.00378,High
TM-21010,65,27,14158.9626,1,382291.9902,High
MG-17890,6,29,13162.2489,1,381705.2181,High
GT-14635,57,20,19080.34784,0,381606.9568,High
ML-18265,101,26,14674.00116,1,381524.03015999997,High
DL-12865,58,34,11185.7181,1,380314.4154,High
HA-14905,70,24,15826.81444,1,379843.54656,High
AJ-10780,49,25,15186.0672,1,379651.68,High
NP-18700,29,27,14036.4335,1,378983.7045,High
AT-10735,3,29,12984.1049,1,376539.0421,High
TW-21025,42,27,13931.8966,1,376161.2082,High
MZ-17335,22,26,14463.9343,1,376062.2918,High
DW-13480,66,23,16336.8556,0,375747.6788,High
TM-21490,41,27,13908.8563,1,375539.1201,High
PN-18775,16,33,11370.46522,1,375225.35226,High
HK-14890,44,27,13886.4431,1,374933.9637,High
CS-12250,27,30,12496.1053,1,374883.159,High
GH-14665,3,29,12921.45162,1,374722.09698,High
MC-18100,42,33,11353.7466,1,374673.6378,High
JM-15250,36,24,15594.46182,1,374267.08368000004,High
MT-17815,50,27,13845.5188,1,373829.0076,High
TP-21565,15,30,12429.8013,1,372894.039,High
JS-15685,41,26,14338.5195,1,372801.507,High
GM-14680,2,31,12010.60944,1,372328.89264,High
RH-19495,25,28,13295.7486,1,372280.9608,High
DC-13285,19,23,16164.6499,0,371786.9477,High
EB-13705,49,30,12382.2841,1,371468.52300000004,High
EH-14185,68,29,12800.51382,1,371214.90078,High
DB-13210,8,27,13743.5959,1,371077.0893,High
NS-18505,7,25,14834.28974,1,370857.2435,High
CT-11995,29,27,13715.79704,1,370326.52008,High
TH-21100,7,27,13684.8726,1,369491.5602,High
AC-10615,7,29,12729.72448,1,369162.00992000004,High
HM-14980,26,29,12718.7916,1,368844.9564,High
AR-10345,30,26,14165.7962,1,368310.7012,High
LB-16735,10,29,12686.03922,1,367895.13738000003,High
EM-13825,56,26,14128.07816,1,367330.03216,High
LS-17200,16,24,15258.74122,1,366209.78928,High
JH-15430,6,31,11806.1963,1,365992.0853,High
SF-20200,6,28,13019.6294,1,364549.6232,High
JL-15175,7,27,13499.87246,1,364496.55642000004,High
ML-17395,1,25,14507.07948,1,362676.987,High
MP-17470,6,28,12928.8028,1,362006.47839999996,High
RF-19345,65,27,13391.2718,1,361564.3386,High
JL-15130,9,28,12908.49914,1,361437.97592,High
GG-14650,34,28,12902.96276,1,361282.95728000003,High
BP-11290,13,29,12448.89978,1,361018.09362,High
SC-20020,9,34,10579.47,1,359701.98,High
BK-11260,27,27,13294.68736,1,358956.55872,High
BM-11650,34,24,14920.99608,1,358103.90592000005,High
PF-19225,3,30,11915.1997,1,357455.991,High
RP-19270,8,26,13725.5769,1,356864.9994,High
RA-19885,44,23,15435.49908,1,355016.47884,High
AA-10480,126,20,17695.58978,0,353911.79559999995,High
BD-11500,20,27,13089.8495,1,353425.9365,High
DH-13075,76,25,14128.6781,1,353216.95249999996,High
EA-14035,94,31,11387.06772,1,352999.09932,High
SW-20245,13,26,13576.68382,1,352993.77932000003,High
AS-10045,24,28,12596.2944,1,352696.2432,High
BG-11740,7,24,14689.3425,1,352544.22000000003,High
KW-16435,27,23,15319.9656,1,352359.20879999996,High
DK-13150,11,22,15983.711,1,351641.642,High
PV-18985,9,28,12540.661,1,351138.50800000003,High
LH-16900,22,29,12098.37728,1,350852.94112000003,High
RK-19300,86,26,13480.92458,1,350504.03908,High
BF-11215,27,27,12968.9385,1,350161.3395,High
SV-20815,35,24,14575.50118,1,349812.02832,High
EG-13900,23,21,16562.35068,1,347809.36428,High
CR-12820,61,24,14470.55056,1,347293.21343999996,High
JP-16135,44,34,10163.5086,1,345559.2924,High
BT-11530,34,25,13808.318,1,345207.94999999995,High
JK-15625,2,27,12754.4081,1,344369.0187,High
BW-11200,41,29,11862.36908,1,344008.70332000003,High
JE-15610,43,26,13192.6924,1,343010.0024,High
MH-17290,38,25,13718.69666,1,342967.4165,High
MO-17800,7,25,13709.1228,1,342728.07,High
RL-19615,121,23,14866.82448,1,341936.96304,High
JK-16120,98,26,13134.71664,1,341502.63264,High
NP-18685,15,30,11363.4332,1,340902.996,High
RS-19765,37,25,13582.12128,1,339553.032,High
DJ-13630,13,27,12560.13,1,339123.50999999995,High
SH-20635,31,25,13546.7458,1,338668.645,High
JF-15415,3,23,14717.46588,1,338501.71524,High
MC-17605,50,26,13019.2019,1,338499.2494,High
SP-20860,55,26,12994.59246,1,337859.40396,High
AB-10165,14,29,11649.265,1,337828.685,High
LT-17110,35,26,12986.77316,1,337656.10216,High
VP-21730,31,29,11629.269,1,337248.801,High
TH-21115,44,25,13483.62368,1,337090.592,High
CD-12790,77,25,13468.1145,1,336702.8625,High
SJ-20500,176,26,12930.791,1,336200.566,High
TH-21235,9,26,12896.252,1,335302.552,High
SM-20950,26,29,11552.77814,1,335030.56606,High
MZ-17515,24,25,13383.97684,1,334599.421,High
AB-10255,6,31,10786.7164,1,334388.2084,High
MS-17530,16,25,13335.04236,1,333376.059,High
CS-12490,3,30,11110.4965,1,333314.89499999996,High
DB-12910,3,27,12338.2837,1,333133.65989999997,High
TH-21550,6,26,12808.9063,1,333031.5638,High
NM-18520,20,27,12328.606,1,332872.36199999996,High
JB-16045,1,24,13851.27568,1,332430.61632000003,High
TB-21250,3,28,11830.0907,1,331242.5396,High
CM-11815,41,23,14362.8004,1,330344.4092,High
AW-10840,17,25,13200.25552,1,330006.38800000004,High
HH-15010,55,24,13731.73782,1,329561.70768,High
BP-11155,33,24,13696.14346,1,328707.44304,High
JK-15640,1,26,12637.4495,1,328573.68700000003,High
EB-14110,36,24,13665.4673,1,327971.2152,High
AT-10435,13,24,13654.3055,1,327703.332,High
RD-19720,22,30,10902.5255,1,327075.765,High
BD-11725,5,30,10877.827,1,326334.81,High
CP-12085,70,23,14183.8819,1,326229.2837,High
DA-13450,14,25,13035.36826,1,325884.2065,High
RB-19435,20,28,11618.07552,1,325306.11456,High
JC-15385,9,25,12978.93092,1,324473.27300000004,High
SG-20605,76,32,10128.53856,1,324113.23392,High
KM-16720,29,23,14041.02,1,322943.46,High
CW-11905,9,25,12917.6316,1,322940.79000000004,High
AJ-10945,29,29,11087.024,1,321523.696,High
SC-20575,28,33,9685.4243,1,319619.00190000003,High
JW-15955,6,30,10640.8287,1,319224.861,High
JM-15580,1,24,13295.857,1,319100.56799999997,High
SN-20560,72,25,12738.71,1,318467.75,High
KF-16285,38,21,15164.8685,1,318462.23850000004,High
SJ-20125,33,30,10562.092,1,316862.76,High
SS-20590,6,26,12181.4264,1,316717.08640000003,High
SH-19975,26,29,10893.50994,1,315911.78826,High
AH-10195,50,25,12628.19178,1,315704.79449999996,High
LO-17170,3,28,11256.3236,1,315177.0608,High
KW-16570,23,34,9256.0553,1,314705.8802,High
DN-13690,20,24,13098.338,1,314360.11199999996,High
KL-16555,16,26,12064.3877,1,313674.08019999997,High
AB-10150,36,24,13057.2946,1,313375.07039999997,High
KM-16660,16,29,10785.2626,1,312772.6154,High
MH-18115,6,26,12017.105,1,312444.73,High
AG-10300,3,24,13013.8762,1,312333.02880000003,High
FH-14275,5,23,13569.566,1,312100.01800000004,High
EM-13810,79,23,13549.72804,1,311643.74492,High
KC-16675,3,23,13531.28104,1,311219.46392,High
TC-21475,2,29,10722.52656,1,310953.27024,High
JC-16105,58,28,11079.10488,1,310214.93664,High
BT-11680,19,22,14087.7631,1,309930.7882,High
VD-21670,37,21,14754.8714,1,309852.2994,High
LD-17005,50,27,11461.65464,1,309464.67528,High
GH-14485,52,21,14692.6742,1,308546.1582,High
AP-10720,42,20,15362.0613,1,307241.22599999997,High
Co-12640,5,25,12279.23076,1,306980.76900000003,High
AC-10450,6,19,16126.3904,1,306401.4176,High
MS-17830,24,26,11783.3973,1,306368.3298,High
NC-18340,6,22,13905.34712,1,305917.63664,High
JG-15310,3,24,12733.7039,1,305608.8936,High
SN-20710,45,24,12703.94056,1,304894.57343999995,High
MH-17785,1,26,11676.13204,1,303579.43304000003,High
LC-16930,42,26,11660.69496,1,303178.06896,High
DS-13030,94,26,11644.2965,1,302751.70900000003,High
DO-13645,27,25,12083.48092,1,302087.023,High
XP-21865,44,27,11187.1526,1,302053.1202,High
SG-20470,91,28,10730.2773,1,300447.7644,High
GA-14515,23,24,12488.67232,1,299728.13568,High
CM-12445,16,25,11971.70808,1,299292.702,High
RP-19855,22,27,11043.0844,1,298163.2788,High
LC-17050,5,23,12933.87382,1,297479.09786000004,High
PM-18940,22,23,12893.5944,1,296552.6712,High
KD-16615,76,24,12348.44362,1,296362.64688,High
IL-15100,117,25,11802.69376,1,295067.344,High
NP-18325,2,25,11778.491,1,294462.275,High
LL-16840,27,26,11287.78406,1,293482.38556,High
CM-12115,9,20,14657.9493,1,293158.98600000003,High
AB-10600,51,22,13318.6631,1,293010.5882,High
CC-12145,83,24,12190.6666,1,292575.99840000004,High
DB-13270,10,25,11690.3695,1,292259.23750000005,High
CB-12415,27,23,12705.54736,1,292227.58928,High
CB-12025,10,25,11685.3186,1,292132.965,High
GB-14530,34,25,11657.753,1,291443.825,High
TT-21220,38,22,13224.56416,1,290940.41152,High
EH-14005,3,28,10374.9381,1,290498.2668,High
RH-19510,21,25,11599.39296,1,289984.82399999996,High
BP-11230,40,23,12573.6136,1,289193.1128,High
CJ-11875,14,23,12538.83296,1,288393.15807999996,High
FP-14320,24,29,9939.0502,1,288232.4558,High
VF-21715,14,24,12000.133,1,288003.192,High
CC-12100,52,25,11500.12324,1,287503.081,High
CS-12355,7,31,9240.897,1,286467.80700000003,High
NR-18550,3,26,10993.42058,1,285828.93508,High
MV-17485,17,27,10563.3673,1,285210.9171,High
PL-18925,16,20,14256.7186,1,285134.372,High
ME-18010,43,27,10547.63192,1,284786.06184,High
CM-12190,1,25,11375.05222,1,284376.3055,High
JP-15460,37,26,10916.36982,1,283825.61532,High
EJ-14155,28,23,12324.8446,1,283471.4258,High
LF-17185,23,22,12864.7205,1,283023.85099999997,High
DB-13615,28,28,10031.4568,1,280880.7904,High
BD-11635,10,25,11230.6983,1,280767.4575,High
RW-19690,16,25,11200.142,1,280003.55,High
KH-16360,2,28,9983.5094,1,279538.26320000004,High
AS-10240,13,31,9006.66636,1,279206.65716,High
RF-19735,2,23,12139.0877,1,279199.0171,High
CC-12670,17,28,9969.0279,1,279132.78119999997,High
MM-18055,16,25,11163.587,1,279089.675,High
GZ-14545,77,24,11593.7308,1,278249.5392,High
DP-13390,1,27,10282.7912,1,277635.3624,High
JF-15490,5,30,9234.53286,1,277035.98579999997,High
GM-14695,48,19,14564.942,1,276733.898,High
NK-18490,27,24,11483.193,1,275596.632,High
JK-15370,2,27,10189.51404,1,275116.87908,High
RB-19570,21,25,10961.631,1,274040.77499999997,High
AG-10675,48,21,13023.836,1,273500.556,High
TN-21040,23,29,9410.26404,1,272897.65716,High
